Position (X, Y, Z) | Voltages (X, Y, Z)
[0 0 0] | [29.06501293182373, 46.372413635253906, 26.635825634002686]
[1 0 0] | [26.240944862365723, 51.932334899902344, 30.100643634796143]
[2 0 0] | [23.071765899658203, 45.375823974609375, 28.96636724472046]
[3 0 0] | [26.068687438964844, 44.70348358154297, 35.415589809417725]
[4 0 0] | [27.177929878234863, 43.239593505859375, 42.444467544555664]
[5 0 0] | [12.207627296447754, 30.89427947998047, 2.9471516609191895]
[6 0 0] | [-10.284185409545898, -6.4849853515625, -48.56079816818237]
[7 0 0] | [-10.284185409545898, -2.689361572265625, -50.632357597351074]
[8 0 0] | [-13.93437385559082, -29.096603393554688, -37.080347537994385]
[9 0 0] | [-23.31852912902832, -39.14833068847656, -52.0014762878418]
[10  0  0] | [-21.789073944091797, -36.39698028564453, -39.805471897125244]
